player_name,team,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,porpag,adjoe,pfr,year,pid,type,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts
Ricky Lindo Jr.,George Washington,7,35.6,101.7,17.8,54.8,56.28,5.0,29.2,8.8,18.6,11,17,0.647,30,46,0.652,3,17,0.17600000000000002,1.7,3.6,27.0,Sr,08-Jun,2.20796,103.51,3.4,2022,65494,all,94.3903,94.2964,3.9865800000000005,63.0586,2.4922,-0.032936099999999996,2.52514,3.6579300000000003,34.8571,1.29053,2.3674,1.4286,9.2857,10.7143,1.4286,2.1429,0.5714,11.4286
Thomas Kithier,Valparaiso,26,25.0,125.9,12.0,65.0,67.14,13.3,12.3,12.2,20.6,10,13,0.769,26,40,0.65,0,0,0.0,1.5,0.8,32.5,Sr,08-Jun,1.2126299999999999,117.59,8.8,2022,65496,all,105.042,97.2148,1.1266200000000002,46.0411,5.58053,3.37184,2.2086900000000003,0.5997399999999999,10.8077,-1.26778,1.86752,1.2692,1.1923,2.4615,0.6923,0.1538,0.1538,2.3846
Christian Bishop,Texas,31,58.0,115.0,21.8,68.4,66.57,7.8,21.7,10.0,18.9,59,105,0.562,140,203,0.69,1,4,0.25,4.8,1.7,50.7,Sr,07-Jun,3.1369,124.22200000000001,4.6,2022,65500,all,93.2434,88.3469,3.13232,165.635,6.555560000000001,2.105,4.45055,6.35184,23.3871,3.11586,3.23598,1.5484,4.8065,6.3548,1.1935,0.7097,1.0323,11.0323
Bryce Golden,Butler,24,63.7,101.5,22.1,49.3,53.19,8.0,13.6,7.1,15.5,45,57,0.789,90,168,0.536,8,39,0.205,1.1,1.4,27.5,Sr,09-Jun,2.3313,110.56700000000001,3.3,2022,65502,all,105.227,99.1802,2.58593,105.75200000000001,0.323719,0.21511799999999998,0.108601,0.709192,26.9583,0.7712289999999999,-0.0620366,1.875,2.7917,4.6667,0.7917,0.625,0.25,10.375
Markeese Hastings,Western Michigan,8,7.4,55.3,11.9,7.7,14.34,9.2,17.6,4.8,13.9,2,2,1.0,1,4,0.25,0,9,0.0,1.6,1.6,15.4,Jr,07-Jun,-1.12325,50.7275,3.7,2022,65503,all,103.275,96.8664,0.988604,13.333,-4.27351,-5.064430000000001,0.7909189999999999,-5.42114,9.375,-5.4151,-0.006038399999999999,0.75,1.25,2.0,0.25,0.25,0.125,0.5
Efe Odigie,Troy,10,13.7,104.6,25.0,57.1,57.77,6.8,20.3,4.8,14.2,5,8,0.625,28,49,0.5710000000000001,0,0,0.0,2.8,1.0,16.3,Sr,09-Jun,1.16971,114.679,4.1,2022,65504,all,99.4525,98.9785,1.1241700000000001,21.7723,-1.96557,-0.953458,-1.01211,3.4106,11.6154,2.69988,0.710721,0.6923,2.2308,2.9231,0.2308,0.3077,0.2308,5.5385
Greg Williams Jr.,Louisiana Lafayette,24,54.3,110.8,17.6,54.4,58.42,1.1,8.6,14.3,16.0,54,74,0.73,48,102,0.47100000000000003,26,58,0.44799999999999995,2.5,2.9,46.3,Sr,03-Jun,2.2866299999999997,112.251,3.4,2022,65506,all,102.836,98.0998,2.46962,114.81200000000001,4.09357,2.70667,1.3869,4.030880000000001,24.7917,2.25406,1.7768099999999998,0.25,1.875,2.125,2.0833,1.3333,0.5833,9.5
Marcellus Earlington,San Diego,27,41.7,101.2,19.5,50.6,51.32,5.3,21.7,7.1,13.4,16,28,0.5710000000000001,43,98,0.439,27,67,0.40299999999999997,1.9,2.0,17.0,Sr,06-Jun,1.16334,105.338,4.5,2022,65507,all,100.42,96.2499,1.7961200000000002,97.4783,0.983115,0.761273,0.221842,1.5507,16.9259,1.2746,0.276099,0.8519,3.2222,4.0741,0.6667,0.6296,0.2963,6.7778
Adrian Rodriguez,UTSA,14,14.3,88.2,14.1,55.0,53.59,5.8,9.1,9.2,31.4,3,7,0.429,11,20,0.55,0,0,0.0,0.9,1.8,35.0,Sr,07-Jun,-0.135293,80.9236,6.3,2022,65508,all,106.84100000000001,109.22399999999999,0.563129,21.8974,-3.21825,-2.9087099999999997,-0.309546,-5.64805,9.7222,-4.798,-0.85005,1.0,1.0556,2.0556,0.4444,0.2222,0.1111,2.7778
DeVon Baker,Tulane,8,22.1,113.9,23.0,59.1,60.61,1.3,8.1,6.3,10.9,7,8,0.875,29,53,0.547,13,29,0.44799999999999995,0.0,4.5,9.8,Sr,02-Jun,2.3289,115.551,4.2,2022,65509,all,100.35799999999999,103.54700000000001,1.8226200000000001,35.9327,0.151767,2.1579099999999998,-2.00615,4.70424,22.5,3.57491,1.12932,0.25,1.625,1.875,0.625,1.75,0.0,13.0
Coty Jude,UNC Asheville,18,48.6,110.3,15.4,57.6,57.92,2.4,11.4,4.1,12.9,9,15,0.6,12,18,0.667,35,94,0.37200000000000005,1.3,1.4,13.4,Sr,09-Jun,1.11827,100.10799999999999,3.9,2022,65510,all,104.913,108.59100000000001,1.40533,64.4828,-1.41801,1.08349,-2.5015,-0.97504,22.0,0.5095,-1.48454,0.4444,2.2222,2.6667,0.5,0.5556,0.2778,7.6667
Luke Lawson,UNC Asheville,17,16.7,100.5,14.1,47.2,48.71,5.2,11.6,2.5,11.8,2,2,1.0,5,8,0.625,8,28,0.28600000000000003,8.0,0.8,5.6,Sr,07-Jun,0.102201,88.9915,4.7,2022,65512,all,102.664,105.454,0.5964520000000001,24.6163,-1.53816,-1.62907,0.09090939999999999,-1.30225,8.0,-1.39066,0.0884068,0.3529,0.8235,1.1765,0.1176,0.1176,0.6471,2.1176
Junior Ballard,Fresno St.,22,62.3,97.6,15.0,46.4,48.31,1.3,11.0,5.4,13.2,20,32,0.625,9,27,0.33299999999999996,37,112,0.33,1.1,1.0,23.0,Sr,03-Jun,0.529981,91.3886,2.7,2022,65513,all,106.803,105.515,1.87874,82.3447,-1.13565,0.0884531,-1.2241,-1.26899,25.3478,-0.396974,-0.872014,0.3478,2.2609,2.6087,0.6522,0.4783,0.2174,7.2174
Filip Rebraca,Iowa,26,78.4,100.4,28.1,52.8,54.36,6.7,22.2,9.9,15.2,74,122,0.607,159,303,0.525,15,41,0.366,2.1,1.1,35.5,Sr,09-Jun,2.42893,107.58,3.3,2022,65514,all,106.631,106.431,2.2658099999999997,156.31,-2.29429,-0.9899629999999999,-1.30433,-0.08620610000000001,31.8077,1.42478,-1.51098,1.8462,5.7308,7.5769,1.1923,0.6154,0.6538,16.8077
Josh LeBlanc Sr.,UAB,25,35.9,130.7,10.0,66.7,61.61,11.8,16.0,5.3,11.9,8,23,0.348,36,54,0.667,0,0,0.0,4.9,3.3,42.6,Sr,07-Jun,2.03727,120.546,6.3,2022,65517,all,97.8521,92.5226,2.0051400000000004,99.7493,9.88841,4.79805,5.0903599999999996,5.4652400000000005,16.72,2.15983,3.3054099999999997,1.8,2.64,4.44,0.56,1.0,0.72,3.2
Deante Johnson,Cleveland St.,27,56.4,109.6,13.7,59.9,59.61,7.6,19.1,8.4,20.1,26,47,0.5529999999999999,62,105,0.59,1,1,1.0,6.6,1.5,44.3,Sr,09-Jun,0.809984,95.6063,3.2,2022,65518,all,99.819,97.7791,2.30671,128.358,3.08894,-1.15428,4.24322,1.89018,23.0741,0.00565454,1.8845299999999998,1.4815,3.8148,5.2963,1.037,0.5926,1.2222,5.6667
Tariq Silver,Austin Peay,22,11.9,114.6,9.4,44.2,45.81,0.8,10.1,12.3,0.0,3,5,0.6,4,10,0.4,5,16,0.313,0.0,1.2,19.2,Sr,05-Jun,0.412282,102.53399999999999,2.9,2022,65525,all,107.29700000000001,100.073,0.648609,22.046,0.8747739999999999,1.23599,-0.361218,0.738352,7.4348,-0.0270818,0.7654340000000001,0.0435,0.6087,0.6522,0.5652,0.2174,0.087,1.5652
Brandon Wade,Michigan,3,0.3,0.0,0.0,0.0,0.0,0.0,35.6,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,Sr,01-Jun,-0.323325,-7.92132,13.3,2022,65527,all,91.1131,82.6107,0.154918,0.683232,-3.6063400000000003,-3.76359,0.157249,-6.501930000000001,1.0,-12.6719,6.1700099999999996,0.0,0.3333,0.3333,0.0,0.0,0.0,0.0
Onyi Eyisi,Cal St. Northridge,14,37.5,85.8,14.0,48.6,50.56,4.3,13.9,0.0,19.0,11,20,0.55,17,35,0.486,0,0,0.0,3.4,1.2,57.1,Sr,09-Jun,-0.299325,79.505,5.0,2022,65528,all,104.694,102.257,1.3012,35.2556,-7.54183,-6.88219,-0.659636,-5.14976,15.0,-5.732559999999999,0.582807,0.5714,1.7143,2.2857,0.0,0.2857,0.3571,3.2143
